company,latitude,longitude,province,amphur,tumbon
BCP,13.66642,100.60429,กรุงเทพมหานคร,บางนา,"Bang Na , 10260"
PTT,13.667629,100.4143468,กรุงเทพมหานคร,บางบอน,คลองบางบอน
BCP,13.667901,100.413569,กรุงเทพมหานคร,บางบอน,คลองบางพราน
Susco,13.66732683,100.4135807,กรุงเทพมหานคร,บางบอน,คลองบางพราน
Shell,13.68132,100.4382,กรุงเทพมหานคร,บางบอน,คลองบางพราน
PTT,13.66805587,100.4142709,กรุงเทพมหานคร,บางบอน,บางบอนเหนือ
PTT,13.65647727,100.3939761,กรุงเทพมหานคร,บางบอน,บางบอนเหนือ
PTT,13.6720256,100.4051439,กรุงเทพมหานคร,บางบอน,บางบอนเหนือ
BCP,13.67093,100.40516,กรุงเทพมหานคร,บางบอน,บางบอนเหนือ
PTG,13.66028,100.3719,กรุงเทพมหานคร,บางบอน,บางบอนเหนือ
PTG,13.7832,100.4919,กรุงเทพมหานคร,บางพลัด,บางบำหรุ
PTT,13.7892,100.4725,กรุงเทพมหานคร,บางพลัด,บางพลัด
PTT,13.789603,100.501701,กรุงเทพมหานคร,บางพลัด,บางพลัด
BCP,13.783134,100.498444,กรุงเทพมหานคร,บางพลัด,บางพลัด
PTG,13.78904,100.472,กรุงเทพมหานคร,บางพลัด,บางพลัด
BCP,13.77157,100.487923,กรุงเทพมหานคร,บางพลัด,บางยี่ขัน
PTT,13.80329928,100.5122058,กรุงเทพมหานคร,บางพลัด,บางอ้อ
BCP,13.806012,100.512063,กรุงเทพมหานคร,บางพลัด,บางอ้อ
Shell,13.79772,100.5092,กรุงเทพมหานคร,บางพลัด,บางอ้อ
PTG,13.79425,100.5067,กรุงเทพมหานคร,บางพลัด,บางอ้อ
PTG,13.73117,100.5109,กรุงเทพมหานคร,บางรัก,คลองสาน
Shell,13.73117,100.5203,กรุงเทพมหานคร,บางรัก,มหาพฤฒาราม
Shell,13.72355,100.5348,กรุงเทพมหานคร,บางรัก,สีลม
PTT,13.78817954,100.6497715,กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม
BCP,13.77669,100.660786,กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม
BCP,13.82951,100.65888,กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม
Shell,13.79988,100.6496,กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม
Shell,13.77746,100.664,กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม
